address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"6 OZONE PDE, COTTESLOE",RES,Non Strata,4500000,2018-08-23,N,675.319
"1/19 CHAMBERLAIN ST, COTTESLOE",RES,Strata,4500000,2023-08-17,N,492
"28 FORREST ST, COTTESLOE",RES,Non Strata,4500000,2022-11-09,N,637
"7 LOMA ST, COTTESLOE",RES,Non Strata,4500000,2021-12-23,N,655.085
"68 A BROOME ST, COTTESLOE",RES,Strata,4500000,2012-02-14,N,440
"3 AVONMORE TCE, COTTESLOE",RES,Non Strata,4500000,2013-11-10,N,484
"3/24 AVONMORE TCE, COTTESLOE",RES,Strata,4500000,2023-06-01,N,1252
"199 BROOME ST, COTTESLOE",RES,Non Strata,4450000,2022-05-31,N,675.319
"14 PRINCES ST, COTTESLOE",RES,Non Strata,4450000,2010-09-23,N,832
"199 BROOME ST, COTTESLOE",RES,Non Strata,4450000,2022-05-31,N,675.319
"44 OZONE PDE, COTTESLOE",RES,Non Strata,4400000,2015-05-12,N,718.317
"38 OZONE PDE, COTTESLOE",RES,Vacant,4400000,2010-10-26,N,741.081
"3 TORRENS CT, COTTESLOE",RES,Non Strata,4400000,2017-03-13,N,479
"11 BEACH ST, COTTESLOE",RES,Non Strata,4400000,2010-08-09,N,774
"28 AVONMORE TCE, COTTESLOE",RES,Non Strata,4400000,2019-03-25,N,303
"297 MARMION ST, COTTESLOE",RES,Non Strata,4375000,2021-11-06,N,567
"37 LYONS ST, COTTESLOE",RES,Non Strata,4350000,2023-04-22,N,685.436
"6 FLORENCE ST, COTTESLOE",RES,Non Strata,4350000,2008-10-03,N,1014
"14 CHAMBERLAIN ST, COTTESLOE",RES,Non Strata,4350000,2021-03-10,N,588
"8 KILN LANE, COTTESLOE",RES,Non Strata,4350000,2022-04-14,N,501
"28 LOMA ST, COTTESLOE",RES,Non Strata,4350000,2012-05-02,N,655
"5 BARSDEN ST, COTTESLOE",RES,Non Strata,4350000,2018-08-15,N,910.543
"20 DEANE ST, COTTESLOE",RES,Non Strata,4350000,2022-08-06,N,569.089
"6 GERALDINE ST, COTTESLOE",RES,Non Strata,4340000,2019-03-14,N,708.144
"8 OZONE PDE, COTTESLOE",RES,Non Strata,4325000,2018-07-30,N,675.319
"7 FLORENCE ST, COTTESLOE",RES,Non Strata,4325000,2015-11-24,N,809.307
"13 KILN LANE, COTTESLOE",RES,Non Strata,4310000,2020-11-03,N,611
"202 MARINE PDE, COTTESLOE",RES,Non Strata,4300000,2007-02-21,N,364.217
"86 RAILWAY ST, COTTESLOE",RES,Non Strata,4300000,2022-10-26,N,715.788
"38 C MARINE PDE, COTTESLOE",RES,Non Strata,4300000,2020-10-03,N,280
"21 BEACH ST, COTTESLOE",RES,Non Strata,4300000,2015-11-06,N,912
"52 BROOME ST, COTTESLOE",RES,Non Strata,4300000,2006-11-13,N,885
"33 KATHLEEN ST, COTTESLOE",RES,Non Strata,4250000,2021-07-27,N,561.501
"52 A FORREST ST, COTTESLOE",RES,Non Strata,4250000,2018-04-19,Y,139
"52 FORREST ST, COTTESLOE",RES,Non Strata,4250000,2018-04-19,Y,567
"5 B AVONMORE TCE, COTTESLOE",RES,Strata,4250000,2022-10-27,N,1087
"6 A HAWKSTONE ST, COTTESLOE",RES,Non Strata,4220000,2022-12-06,N,363
"67 GRANT ST, COTTESLOE",RES,Non Strata,4200000,2022-09-09,N,556
"1 BRIGHTON ST, COTTESLOE",RES,Non Strata,4200000,2023-01-16,N,614.568
"194 MARINE PDE, COTTESLOE",RES,Non Strata,4200000,2017-03-06,N,495.74
"19 HAMERSLEY ST, COTTESLOE",RES,Non Strata,4200000,2005-08-02,N,624.684
"67 GRANT ST, COTTESLOE",RES,Non Strata,4200000,2022-09-09,N,556
"30 SALVADO ST, COTTESLOE",RES,Non Strata,4150000,2022-07-01,Y,314
"30 B SALVADO ST, COTTESLOE",RES,Non Strata,4150000,2022-07-01,Y,276
"30 A SALVADO ST, COTTESLOE",RES,Non Strata,4150000,2022-07-01,Y,276
"13 HAMERSLEY ST, COTTESLOE",RES,Non Strata,4125000,2021-11-25,N,325
"200 BROOME ST, COTTESLOE",RES,Non Strata,4100000,2007-03-31,N,614.568
"8 GRANT ST, COTTESLOE",RES,Non Strata,4100000,2008-06-19,N,443
"6 GRANT ST, COTTESLOE",RES,Non Strata,4100000,2018-10-29,N,443
"13 A HAMERSLEY ST, COTTESLOE",RES,Non Strata,4100000,2006-05-21,N,325
"3 LOMA ST, COTTESLOE",RES,Non Strata,4100000,2022-01-16,N,655
"78 BROOME ST, COTTESLOE",RES,Non Strata,4100000,2010-04-18,N,784.078
"24 PRINCES ST, COTTESLOE",RES,Non Strata,4100000,2004-07-01,N,1702
"32 AVONMORE TCE, COTTESLOE",RES,Non Strata,4100000,2017-12-11,N,289
"5 B OVERTON GDNS, COTTESLOE",RES,Non Strata,4088000,2019-04-23,N,265
"202 BROOME ST, COTTESLOE",RES,Non Strata,4050000,2020-09-21,N,615
"26 SALVADO ST, COTTESLOE",RES,Non Strata,4050000,2019-04-05,N,911
"138 BROOME ST, COTTESLOE",RES,Non Strata,4015000,2010-09-08,N,1214
"110-112 MARINE PDE, COTTESLOE",COM,Non Strata,4000000,2003-10-18,N,549
"103 GRANT ST, COTTESLOE",RES,Non Strata,4000000,2020-08-31,N,1578.274
"12 HAMERSLEY ST, COTTESLOE",RES,Strata,4000000,2022-04-03,N,744
