"sale_amount","sale_date","property_status","address","multi_lot_sale","land_area","suburb"
550000,"2016-10-14","House","110 ERIC ST, COTTESLOE","N",819.423,"COTTESLOE"
350000,"2001-04-30","House","117 ERIC ST, COTTESLOE","N",591.806,"COTTESLOE"
1000000,"2023-05-01","House","113 ERIC ST, COTTESLOE","N",591.806,"COTTESLOE"
425000,"2000-12-08","House","111 ERIC ST, COTTESLOE","N",591.806,"COTTESLOE"
1478000,"2012-11-04","House","119 ERIC ST, COTTESLOE","N",591.806,"COTTESLOE"
620000,"2002-11-15","House","114 ERIC ST, COTTESLOE","N",862.418,"COTTESLOE"
425000,"1995-07-13","House","121 ERIC ST, COTTESLOE","N",819.423,"COTTESLOE"
1950000,"2020-11-01","House","118 ERIC ST, COTTESLOE","N",819.423,"COTTESLOE"
1150000,"2015-12-16","House","120 ERIC ST, COTTESLOE","N",819.423,"COTTESLOE"
2412810,"1997-09-15","House","2 FORREST ST, COTTESLOE","N",1266,"COTTESLOE"
3000000,"2015-12-11","House","4 OVERTON GDNS, COTTESLOE","N",559,"COTTESLOE"
2950000,"2015-10-15","House","6 OVERTON GDNS, COTTESLOE","N",559,"COTTESLOE"
3000000,"2015-06-22","House","5 A OVERTON GDNS, COTTESLOE","N",265,"COTTESLOE"
3600000,"2022-02-01","House","3 A NAPIER ST, COTTESLOE","N",301,"COTTESLOE"
4088000,"2019-04-23","House","5 B OVERTON GDNS, COTTESLOE","N",265,"COTTESLOE"
1825000,"2020-06-30","Empty block","3 B NAPIER ST, COTTESLOE","N",300.662,"COTTESLOE"
2000000,"2012-06-30","Strata","1 C EILEEN ST, COTTESLOE","N",190,"COTTESLOE"
2200000,"2017-02-04","House","2 EILEEN ST, COTTESLOE","N",180,"COTTESLOE"
2550000,"2014-08-01","Empty block","138 MARINE PDE, COTTESLOE","N",297,"COTTESLOE"
2060000,"2010-03-27","House","2 A EILEEN ST, COTTESLOE","N",180,"COTTESLOE"
3475000,"2007-05-14","House","4 FORREST ST, COTTESLOE","N",794,"COTTESLOE"
1900000,"2004-05-19","House","4 A FORREST ST, COTTESLOE","N",460,"COTTESLOE"
615000,"1994-03-06","House","12 FORREST ST, COTTESLOE","N",637,"COTTESLOE"
1900000,"2017-06-30","House","10 JOHN ST, COTTESLOE","N",249,"COTTESLOE"
1900000,"2018-04-15","House","9 WARNHAM RD, COTTESLOE","N",207,"COTTESLOE"
3100000,"2019-02-08","House","8 OVERTON GDNS, COTTESLOE","N",559,"COTTESLOE"
1850000,"2012-12-06","House","10 WARNHAM RD, COTTESLOE","N",282,"COTTESLOE"
2240000,"2005-02-12","House","8 WARNHAM RD, COTTESLOE","N",564,"COTTESLOE"
2315000,"2020-02-15","House","5 E OVERTON GDNS, COTTESLOE","N",265,"COTTESLOE"
2600000,"2023-06-26","House","5 D OVERTON GDNS, COTTESLOE","N",265,"COTTESLOE"
2770000,"2020-01-13","House","3 C NAPIER ST, COTTESLOE","N",300.662,"COTTESLOE"
170000,"1998-10-16","House","8/9 OVERTON GDNS, COTTESLOE","N",559,"COTTESLOE"
80000,"1990-09-20","House","2/9 OVERTON GDNS, COTTESLOE","N",559,"COTTESLOE"
2850000,"2020-11-28","House","13 OVERTON GDNS, COTTESLOE","N",559,"COTTESLOE"
3700000,"2022-06-16","Strata","1 B EILEEN ST, COTTESLOE","N",234,"COTTESLOE"
3750000,"2022-10-16","Strata","1 A EILEEN ST, COTTESLOE","N",208,"COTTESLOE"
1775000,"2015-01-17","House","54 BRIGHTON ST, COTTESLOE","N",644.968,"COTTESLOE"
345000,"1998-08-20","House","56 BRIGHTON ST, COTTESLOE","N",660.143,"COTTESLOE"
2210000,"2016-06-07","House","52 BRIGHTON ST, COTTESLOE","N",644.968,"COTTESLOE"
252500,"1993-01-23","House","57 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
375000,"1994-11-09","House","59 BRIGHTON ST, COTTESLOE","N",662.673,"COTTESLOE"
635000,"2000-10-13","House","53 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
2550000,"2014-03-25","House","244 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
2350000,"2009-11-27","House","242 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
227500,"1988-11-10","House","243 BROOME ST, COTTESLOE","N",652.556,"COTTESLOE"
600000,"1999-04-14","House","241 BROOME ST, COTTESLOE","N",652.556,"COTTESLOE"
6350000,"2022-04-10","House","239 BROOME ST, COTTESLOE","N",652.556,"COTTESLOE"
3900000,"2019-04-28","House","46 OZONE PDE, COTTESLOE","N",718.317,"COTTESLOE"
4400000,"2015-05-12","House","44 OZONE PDE, COTTESLOE","N",718.317,"COTTESLOE"
3700000,"2023-06-03","House","58 NORTH ST, COTTESLOE","N",718.317,"COTTESLOE"
5600000,"2022-10-12","House","244 MARINE PDE, COTTESLOE","N",364.217,"COTTESLOE"
4500000,"2018-11-11","House","248 MARINE PDE, COTTESLOE","N",513.445,"COTTESLOE"
3100000,"2016-11-25","House","242 MARINE PDE, COTTESLOE","N",365,"COTTESLOE"
2000000,"2015-07-21","House","61 MARGARET ST, COTTESLOE","N",424,"COTTESLOE"
580000,"1996-01-22","House","216 MARINE PDE, COTTESLOE","N",364.217,"COTTESLOE"
377500,"1995-11-22","House","43 MARGARET ST, COTTESLOE","N",364,"COTTESLOE"
10381,"2000-11-08","Empty block","224 MARINE PDE, COTTESLOE","N",364.217,"COTTESLOE"
590000,"2002-10-12","House","45 MARGARET ST, COTTESLOE","N",364.217,"COTTESLOE"
225000,"1992-05-28","House","47 MARGARET ST, COTTESLOE","N",364.217,"COTTESLOE"
810000,"1997-06-09","House","214 MARINE PDE, COTTESLOE","N",551.384,"COTTESLOE"
2200000,"2021-02-04","House","41 MARGARET ST, COTTESLOE","N",364,"COTTESLOE"
100000,"1990-01-24","House","39 MARGARET ST, COTTESLOE","N",364.217,"COTTESLOE"
