address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"10 A GADSDON ST, COTTESLOE",residential,Strata,1300000,2009-06-17,N,293
"10 C GADSDON ST, COTTESLOE",residential,Strata,880000,2017-05-13,N,320
"14 GADSDON ST, COTTESLOE",residential,Non Strata,1450000,2003-03-04,N,297
"7/15 ERIC ST, COTTESLOE",residential,Strata,420000,2023-02-17,N,1310
"12 ERIC ST, COTTESLOE",residential,Strata,165000,2001-04-30,N,222
"10 GRANT ST, COTTESLOE",residential,Non Strata,2950000,2009-01-28,N,443
"1 MARGARET ST, COTTESLOE",residential,Non Strata,3072000,2014-05-14,N,324
"8 GRANT ST, COTTESLOE",residential,Non Strata,4100000,2008-06-19,N,443
"7 MARGARET ST, COTTESLOE",residential,Non Strata,2275000,2011-03-26,N,402.156
"5 MARGARET ST, COTTESLOE",residential,Non Strata,440000,1992-09-28,N,394.568
"3 MARGARET ST, COTTESLOE",residential,Non Strata,2350000,2010-12-15,N,409.744
"11 MARGARET ST, COTTESLOE",residential,Non Strata,1900000,2014-02-02,N,440.096
"9 MARGARET ST, COTTESLOE",residential,Non Strata,2000000,2013-08-10,N,432.508
"5/34 MARGARET ST, COTTESLOE",residential,Strata,616000,2023-10-04,N,1105
"31 A MARGARET ST, COTTESLOE",residential,Non Strata,607500,1999-09-01,Y,364
"33 MARGARET ST, COTTESLOE",residential,Non Strata,500000,1998-04-30,N,364.217
"31 MARGARET ST, COTTESLOE",residential,Non Strata,855000,2002-03-01,Y,182
"6/34 MARGARET ST, COTTESLOE",residential,Strata,675000,2023-01-30,N,1105
"41 MARGARET ST, COTTESLOE",residential,Non Strata,2200000,2021-02-04,N,364
"35 MARGARET ST, COTTESLOE",residential,Non Strata,730000,2002-11-09,N,364.217
"37 MARGARET ST, COTTESLOE",residential,Non Strata,930000,2004-09-12,N,364.217
"39 MARGARET ST, COTTESLOE",residential,Non Strata,100000,1990-01-24,N,364.217
"43 MARGARET ST, COTTESLOE",residential,Non Strata,377500,1995-11-22,N,364
